max_depth,learning_rate,n_estimators,min_child_weight,roc_auc,pr_auc
5,0.1,300,3,0.8492943548387099,0.3275412157692309
5,0.05,500,3,0.8538535557184751,0.32460845716725906
7,0.05,300,5,0.855060178396872,0.32202121150188445
5,0.1,100,3,0.8613223973607038,0.3189026517817487
3,0.1,500,3,0.8558124083577713,0.3164297611424216
9,0.1,300,3,0.8500618585043989,0.3140598353032695
9,0.1,100,3,0.8437843658357772,0.31376835145540605
3,0.1,500,1,0.8491950757575757,0.3126982271478394
5,0.05,300,1,0.8505926197458455,0.30915880848555144
9,0.1,500,3,0.8505277065004888,0.30915032110276547
7,0.05,500,5,0.857309231427175,0.30908795071906603
9,0.1,100,5,0.8506346224340177,0.3083513101395759
5,0.05,500,5,0.8535289894916911,0.307426401990261
9,0.01,500,1,0.8488743279569892,0.30682740372722106
9,0.1,300,1,0.8468467436461387,0.30585474877507457
5,0.05,500,1,0.8466023643695014,0.3058490258010793
7,0.1,100,3,0.8462625244379277,0.3054216654708128
7,0.05,300,3,0.8523261852394917,0.304974187047969
9,0.05,500,5,0.8506117118768328,0.30415143500433417
7,0.1,100,5,0.8603028775659823,0.3036094589428803
5,0.05,300,5,0.8578361742424243,0.30310485880174615
9,0.1,100,1,0.8392366202346042,0.30239713224049214
9,0.01,500,3,0.8498633003421309,0.3013005459903153
7,0.05,500,3,0.8539337426686218,0.30058247431734303
9,0.1,300,5,0.8462167033235581,0.3003066906645274
9,0.05,300,5,0.8491416177908113,0.2999754377797549
5,0.1,500,3,0.8453308284457478,0.29881244949032654
5,0.1,300,5,0.8534717130987292,0.29761126551956796
9,0.01,500,5,0.8530593230694039,0.29735646279482314
9,0.1,500,1,0.8461479716520038,0.2965741166550803
7,0.1,300,3,0.845640120967742,0.2961796643833859
3,0.1,500,5,0.8530325940860215,0.29523794088562727
9,0.1,500,5,0.8433719758064517,0.29414069889847616
3,0.1,300,1,0.8599401270772239,0.2934278111743491
3,0.05,500,3,0.8591153470185728,0.2928226832118062
5,0.1,100,5,0.8571106732649072,0.2926635435990043
9,0.05,100,1,0.8383660190615836,0.29180352423242284
9,0.05,100,5,0.8431085043988269,0.29150341041506506
5,0.1,300,1,0.8510241019061584,0.2912675673653923
3,0.1,300,3,0.8619257086999023,0.2908608687879657
3,0.05,500,1,0.8615056818181818,0.2907058828506447
5,0.05,300,3,0.8585578567937437,0.2898195214611779
7,0.1,300,5,0.8521352639296188,0.2885911866319177
7,0.01,500,1,0.8550639968230693,0.2872361719993252
7,0.1,500,3,0.845548478739003,0.2868119549234089
5,0.1,500,5,0.8531738758553276,0.286760860683122
7,0.1,500,5,0.8513524865591398,0.28576275503971876
7,0.01,500,5,0.85569403714565,0.2854034429814877
5,0.1,100,1,0.8575116080156403,0.28500545083648543
3,0.05,300,1,0.8617958822091887,0.2848866727003017
7,0.01,500,3,0.8563469880254154,0.2846669789248099
9,0.05,300,1,0.8475760630498534,0.2837681475201396
7,0.05,300,1,0.8400995845552297,0.2830814929338731
7,0.1,500,1,0.842883217253177,0.2827443838948545
7,0.05,100,3,0.8570075757575757,0.28234751647774325
9,0.05,500,1,0.8485153958944281,0.28195834110968515
7,0.05,100,5,0.8549723545943304,0.28172144718764824
5,0.1,500,1,0.8410771016617791,0.28145036709343507
9,0.01,300,1,0.8467054618768328,0.2785868189532391
9,0.01,300,5,0.8483702956989246,0.2782343182089466
3,0.05,300,3,0.8625672043010751,0.2776006103385758
9,0.05,500,3,0.8479846346529815,0.276142772701753
5,0.01,500,3,0.8592528103616813,0.2749292756092385
9,0.01,300,3,0.8464610826001955,0.2745953832266109
3,0.1,300,5,0.8585731304985338,0.27430877781913393
7,0.1,300,1,0.8474004154447704,0.2738692473682021
3,0.05,300,5,0.8596995662267839,0.2721066001628955
5,0.01,500,1,0.8586685911534702,0.27193243662215755
9,0.05,300,3,0.8460028714565005,0.2715994325260109
7,0.05,500,1,0.8470949413489737,0.2708248006353911
3,0.05,500,5,0.8567402859237538,0.2690456681813416
7,0.1,100,1,0.8464725378787878,0.26833772209167106
5,0.01,500,5,0.8602417827468232,0.2653385966475398
7,0.01,300,5,0.8501573191593352,0.2648175915704127
7,0.01,300,3,0.8520130742913001,0.2614268048137539
5,0.05,100,5,0.8581263746334311,0.260580305618425
3,0.1,100,3,0.8620440799120235,0.26011904424104
5,0.01,300,3,0.8548157991202346,0.2598319256750949
3,0.1,100,5,0.8591382575757576,0.25895527429607557
7,0.05,100,1,0.8505277065004887,0.2586752868125106
5,0.05,100,1,0.8529142228739003,0.2575107972495723
7,0.01,300,1,0.8512341153470184,0.2564354434796674
9,0.05,100,3,0.8384996639784945,0.2559090518923878
5,0.01,300,5,0.8536588159824047,0.25291437174343623
5,0.05,100,3,0.854827254398827,0.25260059184548234
3,0.01,500,3,0.8536015395894428,0.2518072497357074
5,0.01,300,1,0.8547680687927663,0.2508267158274372
3,0.01,500,1,0.8532960654936461,0.2487933660618819
3,0.05,100,1,0.8523319128787878,0.24796195209261124
3,0.01,500,5,0.8530898704789834,0.24773797823800284
3,0.1,100,1,0.8610971102150538,0.2460804649067279
3,0.05,100,5,0.8520149835043989,0.24110820385041185
3,0.05,100,3,0.8524197366813293,0.23994600642935238
7,0.01,100,3,0.8462415230938417,0.23890994297267837
9,0.01,100,3,0.8382056451612901,0.23678605420857965
7,0.01,100,5,0.8453117363147604,0.23576652787194147
9,0.01,100,1,0.8385416666666667,0.23532188204236643
3,0.01,300,5,0.8469803885630499,0.23358523525905078
3,0.01,300,1,0.8469269305962854,0.23204314793568614
3,0.01,300,3,0.8470338465298142,0.23160552202174253
9,0.01,100,5,0.8428755804007821,0.23049416838370756
7,0.01,100,1,0.8450578109726296,0.22957760463237817
5,0.01,100,5,0.8436144458699902,0.2229842545078143
5,0.01,100,3,0.8444468627810362,0.21673850931082234
5,0.01,100,1,0.8443170362903225,0.2139890517018459
3,0.01,100,3,0.8296924639540566,0.2080160201091445
3,0.01,100,1,0.8296924639540566,0.2080160201091445
3,0.01,100,5,0.8293373503176931,0.20723369471003195
